Metadata_platename,Metadata_well,sen_score,std_sen_score,cell_no,number_sen
E31L458-0-5,A01,2.7025866617169507,0.7418091759227746,849,224
E31L458-0-5,A02,2.6968175337009517,0.7341111041484045,794,185
E31L458-0-5,A03,2.703837828439802,0.7206120021634098,828,206
E31L458-0-5,A04,2.7071326528992534,0.7064630526491638,906,205
E31L458-0-5,A05,2.6661935516734303,0.7218991000576567,875,214
E31L458-0-5,A06,2.753517405484705,0.7386505863021317,715,199
E31L458-0-5,A07,2.7261224867518914,0.6608570123787845,468,116
E31L458-0-5,A08,2.7463895589652028,0.7230220986586557,779,211
E31L458-0-5,A09,2.6422460863692114,0.759440127117733,777,190
E31L458-0-5,A10,2.7229266685099316,0.7294332053106386,653,178
E31L458-0-5,A11,2.667741210945212,0.7231283094048996,815,188
E31L458-0-5,A12,2.7348682334620724,0.7518350106717185,372,144
E31L458-0-5,A13,2.8690348094399067,0.646911684616246,316,121
E31L458-0-5,A14,2.693912019075491,0.7085443319927481,678,169
E31L458-0-5,A15,2.7207271852823496,0.7216945225005418,784,204
E31L458-0-5,A16,2.7176694175317113,0.7020846925800374,849,202
E31L458-0-5,A17,2.7290573478032374,0.7815139196453408,557,165
E31L458-0-5,A18,2.743598466918465,0.7232832204588643,783,211
E31L458-0-5,A19,2.7063606328605347,0.7271593847490752,821,221
E31L458-0-5,A20,2.723742575541589,0.7409594017061683,877,238
E31L458-0-5,A21,2.697085692480855,0.7125655092959866,916,226
E31L458-0-5,A22,2.7308927175188806,0.716881487922286,929,240
E31L458-0-5,A23,2.7265317172344616,0.7522533565712228,768,210
E31L458-0-5,A24,2.763945267208386,0.7489953688778583,697,212
E31L458-0-5,B01,2.7424586187895743,0.749284361497895,879,247
E31L458-0-5,B02,2.745397720785005,0.7301062511534825,939,251
E31L458-0-5,B03,2.692089501005949,0.6926247983573816,966,218
E31L458-0-5,B04,2.691062889627089,0.6694344394991836,947,195
E31L458-0-5,B05,2.7189574926784936,0.6819708807170128,969,240
E31L458-0-5,B06,2.739433573959289,0.660468702383481,974,226
E31L458-0-5,B07,2.721382781075382,0.7079656581100332,933,242
E31L458-0-5,B08,2.7420659488591173,0.7144908518108772,824,197
E31L458-0-5,B09,2.304236116658443,0.4374790092427441,9,1
E31L458-0-5,B10,2.693920575569277,0.7084123818392737,1018,241
E31L458-0-5,B11,2.7022234010247876,0.6590975418535461,544,125
E31L458-0-5,B12,2.6857607954779494,0.7039797011800273,976,220
E31L458-0-5,B13,2.659372241060978,0.7569304264585168,948,233
E31L458-0-5,B14,2.672595712841675,0.6900765469519285,861,179
E31L458-0-5,B15,2.7250579338719034,0.7648480213652828,211,60
E31L458-0-5,B16,2.650319136720935,0.688979064718616,940,193
E31L458-0-5,B17,2.772705596906456,0.7230806368636782,952,271
