Barcode,Plate ID,Well Name,column,row,MEASUREMENT SET ID,Total Nuclei (CountNuclei),labware barcode,Well,chemical_name,Annotation,Conc LOG[M],SMILES,Metadata_library
E13L458-0.5,602,A01,1,1,612,1273,4T640458,A01,DMSO,neg,-7,N/A,LOPAC
E13L458-0.5,602,A02,2,1,612,1494,4T640458,A02,DMSO,neg,-7,N/A,LOPAC
E13L458-0.5,602,A03,3,1,612,1438,4T640458,A03,DL-alpha-Methyl-p-tyrosine,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,A04,4,1,612,1557,4T640458,A04,N-Acetyl-L-Cysteine,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,A05,5,1,612,1642,4T640458,A05,"6-Methoxy-1,2,3,4-tetrahydro-9H-pyrido[3,4b] indole",sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,A06,6,1,612,1750,4T640458,A06,6-Aminohexanoic acid,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,A07,7,1,612,1405,4T640458,A07,Acetamide,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,A08,8,1,612,1803,4T640458,A08,Altretamine,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,A09,9,1,612,1771,4T640458,A09,Amantadine hydrochloride,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,A10,10,1,612,1678,4T640458,A10,"Adenosine 3"",5""-cyclic monophosphate",sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,A11,11,1,612,1714,4T640458,A11,GABA,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,A12,12,1,612,1566,4T640458,A12,(?)-AMT hydrochloride,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,A13,13,1,612,1693,4T640458,A13,Gabaculine hydrochloride,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,A14,14,1,612,1686,4T640458,A14,Gardiquimod,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,A15,15,1,612,1645,4T640458,A15,O-(Carboxymethyl)hydroxylamine hemihydrochloride,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,A16,16,1,612,1801,4T640458,A16,"1-Allyl-3,7-dimethyl-8-p-sulfophenylxanthine",sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,A17,17,1,612,1479,4T640458,A17,Ezatiostat,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,A18,18,1,612,1576,4T640458,A18,Acetohexamide,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,A19,19,1,612,1612,4T640458,A19,N-Acetylprocainamide hydrochloride,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,A20,20,1,612,1263,4T640458,A20,Sertaconazole nitrate,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,A21,21,1,612,1508,4T640458,A21,Actinonin,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,A22,22,1,612,1195,4T640458,A22,"2,3-Butanedione monoxime",sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,A23,23,1,612,1320,4T640458,A23,DMSO,neg,-7,N/A,LOPAC
E13L458-0.5,602,A24,24,1,612,1227,4T640458,A24,DMSO,neg,-7,N/A,LOPAC
E13L458-0.5,602,B01,1,2,612,1566,4T640458,B01,DMSO,neg,-7,N/A,LOPAC
E13L458-0.5,602,B02,2,2,612,1691,4T640458,B02,DMSO,neg,-7,N/A,LOPAC
E13L458-0.5,602,B03,3,2,612,1558,4T640458,B03,Zanamivir,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,B04,4,2,612,1648,4T640458,B04,Icaritin,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,B05,5,2,612,1562,4T640458,B05,Bumetanide,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,B06,6,2,612,1569,4T640458,B06,Cyclosporin A,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,B07,7,2,612,1511,4T640458,B07,(?)-Baclofen,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,B08,8,2,612,1608,4T640458,B08,Carbachol,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,B09,9,2,612,240,4T640458,B09,Brefeldin A from Penicillium brefeldianum,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,B10,10,2,612,1759,4T640458,B10,Cephalexin hydrate,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,B11,11,2,612,1667,4T640458,B11,KT203,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,B12,12,2,612,1746,4T640458,B12,Roscovitine,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,B13,13,2,612,1717,4T640458,B13,Bupropion hydrochloride,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,B14,14,2,612,1452,4T640458,B14,Cyproheptadine hydrochloride,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,B15,15,2,612,602,4T640458,B15,Torin2,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,B16,16,2,612,1527,4T640458,B16,3-Morpholinosydnonimine hydrochloride,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,B17,17,2,612,1635,4T640458,B17,Ciprofibrate,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,B18,18,2,612,466,4T640458,B18,Cantharidin,sample,-6.301029996,N/A,LOPAC
E13L458-0.5,602,B19,19,2,612,1908,4T640458,B19,CGP-7930,sample,-6.301029996,N/A,LOPAC
